INCIDENT NUMBER,INCIDENT REGION,RESPONSE TYPE,INCIDENT START DATE,INCIDENT START TIME,SUBJECT NUMBER,SUBJECT GENDER,SUBJECT AGE,SUBJECT STATE,SUBJECT COUNTRY,ACTIVITY,SITUATION,LOCATION FOUND LATITUDE,LOCATION FOUND LONGITUDE,LOCATION FOUND ELEVATION,FOUND IN SEARCH AREA,TECHNIQUE,NUMBER OF RANGERS INVOLVED,OTHER AGENCY INVOLVEMENT,LAST KNOWN POINT LAND CLASS,LAST KNOWN POINT STATE LAND NAME,LAST KNOWN POINT COUNTY,LAST KNOWN POINT MUNICIPALITY,INCIDENT ADIRONDACK PARK,INCIDENT CATSKILL PARK,INCIDENT CLOSED DATE,INCIDENT CLOSED TIME,NYS Municipal Boundaries,New York Zip Codes,Location,Counties
NY-2014-WS-015,5,Search,2/25/2014,7:03 AM,1,M,53,NY,US,Climbing:Rock/Ice,Overdue,44.18825,-73.81697,1400,TRUE,Assist/own power,2,FALSE,Forest Preserve,E. High Peaks Wilderness,ESSEX,KEENE,TRUE,FALSE,3/25/2014,10:00 AM,442,272,POINT (-73.81697 44.18825),2084
NY-2014-WS-015,5,Search,2/25/2014,7:03 AM,2,M,25,NY,US,Climbing:Rock/Ice,Overdue,44.18825,-73.81697,1400,TRUE,Assist/own power,2,FALSE,Forest Preserve,E. High Peaks Wilderness,ESSEX,KEENE,TRUE,FALSE,3/25/2014,10:00 AM,442,272,POINT (-73.81697 44.18825),2084
NY-2014-WS-014,3,Search,2/24/2014,4:55 AM,1,M,35,NY,US,Hiking,Lost,41.4885,-73.96608,20,TRUE,Assist/own power,4,TRUE,OPRHP State Land,Hudson Highlands State Park,DUTCHESS,FISHKILL,FALSE,FALSE,2/24/2014,6:30 AM,601,950,POINT (-73.96608 41.48850000000001),2040
NY-2014-WS-013,3,Search,2/18/2014,7:20 AM,4,M,54,NY,US,Hiking,Overdue,42.02662,-74.40368,2162,FALSE,,1,FALSE,Forest Preserve,Slide Mountain Wilderness Area,ULSTER,SHANDAKEN,FALSE,TRUE,2/18/2014,7:50 AM,410,85,POINT (-74.40368 42.02662),2182
NY-2014-WS-013,3,Search,2/18/2014,7:20 AM,1,M,25,NY,US,Hiking,Overdue,42.02662,-74.40368,2162,FALSE,,1,FALSE,Forest Preserve,Slide Mountain Wilderness Area,ULSTER,SHANDAKEN,FALSE,TRUE,2/18/2014,7:50 AM,410,85,POINT (-74.40368 42.02662),2182
NY-2014-WS-013,3,Search,2/18/2014,7:20 AM,3,M,28,NY,US,Hiking,Overdue,42.02662,-74.40368,2162,FALSE,,1,FALSE,Forest Preserve,Slide Mountain Wilderness Area,ULSTER,SHANDAKEN,FALSE,TRUE,2/18/2014,7:50 AM,410,85,POINT (-74.40368 42.02662),2182
NY-2014-WS-013,3,Search,2/18/2014,7:20 AM,2,M,29,NY,US,Hiking,Overdue,42.02662,-74.40368,2162,FALSE,,1,FALSE,Forest Preserve,Slide Mountain Wilderness Area,ULSTER,SHANDAKEN,FALSE,TRUE,2/18/2014,7:50 AM,410,85,POINT (-74.40368 42.02662),2182
NY-2014-WS-012,5,Rescue,2/20/2014,11:25 AM,1,F,44,NY,US,Snowmobile,Injured,43.63333,-73.74186,916,FALSE,Carry out by foot; Technical Rope,2,TRUE,Private Land,private,WARREN,HORICON,TRUE,FALSE,2/20/2014,1:41 AM,822,156,POINT (-73.74186 43.63333),2183
NY-2014-WS-010,9,Search,2/2/2014,5:15 AM,1,M,70,NY,US,Snowmobile,Overdue,42.7438,-78.44023,1254,TRUE,Vehicle/boat evacuation,2,TRUE,Private Land,not on state land,WYOMING,SHELDON,FALSE,FALSE,2/2/2014,10:00 AM,392,7,POINT (-78.44023 42.7438),2186
NY-2014-WS-009,5,Rescue,1/28/2014,10:20 AM,1,M,64,NY,US,Hiking,Illness,43.59962,-73.69288,1260,FALSE,Assist/own power,3,TRUE,Forest Preserve,Cat Mountain,WARREN,BOLTON,TRUE,FALSE,1/28/2014,11:25 AM,826,801,POINT (-73.69288 43.59962),2183
